descricao,sigla,id
LAVADOR DE CARROS PRES ALTINO-8/9,DOCT,143
DEPTO DE ESTRATEGIAS OPERACIONAIS,DOCT,203
LAVADOR DE CARROS JUNDIAPEBA-11/12,DOCT,363
ESTACAO GUAPITUBA,DOE1,268
ESTACAO RIBEIRAO PIRES,DOE1,269
ESTACAO RIO GRANDE DA SERRA,DOE1,270
DEPTO DE ESTACOES E SERVICOS - LINHAS 7/10,DOE1,326
ESTACAO AGUA BRANCA,DOE1,327
ESTACAO LAPA 7,DOE1,328
ESTACAO PIQUERI,DOE1,329
ESTACAO PIRITUBA,DOE1,330
ESTACAO VILA CLARICE,DOE1,331
ESTACAO JARAGUA,DOE1,332
ESTACAO VILA AURORA,DOE1,333
ESTACAO PERUS,DOE1,334
ESTACAO CAIEIRAS,DOE1,335
ESTACAO FRANCO DA ROCHA,DOE1,364
ESTACAO BALTAZAR FIDELIS,DOE1,365
ESTACAO FRANCISCO MORATO,DOE1,366
ESTACAO BOTUJURU,DOE1,367
ESTACAO CAMPO LIMPO PAULISTA,DOE1,368
ESTACAO VARZEA PAULISTA,DOE1,369
ESTACAO JUNDIAI,DOE1,370
ESTACAO LUZ,DOE1,371
ESTACAO MOOCA,DOE1,372
ESTACAO IPIRANGA,DOE1,373
ESTACAO TAMANDUATEI,DOE1,374
ESTACAO SAO CAETANO,DOE1,375
ESTACAO UTINGA,DOE1,415
ESTACAO PREFEITO SALADINO,DOE1,416
ESTACAO PREF CELSO DANIEL - SANTO ANDRE,DOE1,417
ESTACAO CAPUAVA,DOE1,418
ESTACAO MAUA,DOE1,419
ESTACAO BERRINI,DOE2,271
ESTACAO MORUMBI,DOE2,272
ESTACAO GRANJA JULIETA,DOE2,273
ESTACAO SANTO AMARO,DOE2,274
ESTACAO SOCORRO,DOE2,275
ESTACAO JURUBATUBA,DOE2,276
ESTACAO AUTODROMO,DOE2,277
ESTACAO PRIMAVERA - INTERLAGOS,DOE2,278
DEPTO DE ESTACOES E SERVICOS - LINHAS 8/9,DOE2,376
ESTACAO JULIO PRESTES,DOE2,377
ESTACAO PALMEIRAS - BARRA FUNDA,DOE2,378
ESTACAO LAPA 8,DOE2,379
ESTACAO DOMINGOS DE MORAES,DOE2,380
ESTACAO IMPERATRIZ LEOPOLDINA,DOE2,381
ESTACAO COMANDANTE SAMPAIO,DOE2,382
ESTACAO QUITAUNA,DOE2,389
ESTACAO GENERAL MIGUEL COSTA,DOE2,390
ESTACAO CARAPICUIBA,DOE2,391
ESTACAO SANTA TEREZINHA,DOE2,392
ESTACAO ANTONIO JOAO,DOE2,393
ESTACAO BARUERI,DOE2,394
ESTACAO JARDIM BELVAL,DOE2,395
ESTACAO JARDIM SILVEIRA,DOE2,396
ESTACAO JANDIRA,DOE2,397
